wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /content/autoresearch-irishman/wandb/offline-run-20260715_154115-0sgyo8n1
wandb: View this run in the terminal with `wandb leet`
Device: cuda
Vocab size: 98
Model config: RNNConfig(vocab_size=98, embed_size=256, hidden_size=256, num_layers=3, dropout=0.1, pad_token_id=97)
Num params: 1,605,730
Epoch budget: 30 epochs (no time limit)

step 00000 | epoch 1/30 | loss: 7.902697 | dt: 467ms | tok/sec: 140,280 | elapsed: 0s    
step 00001 | epoch 1/30 | loss: 12.141494 | dt: 74ms | tok/sec: 888,701 | elapsed: 0s    
step 00002 | epoch 1/30 | loss: 12.048357 | dt: 74ms | tok/sec: 886,351 | elapsed: 0s    
step 00003 | epoch 1/30 | loss: 6.469724 | dt: 71ms | tok/sec: 917,483 | elapsed: 0s    
step 00004 | epoch 1/30 | loss: 5.881541 | dt: 70ms | tok/sec: 936,044 | elapsed: 0s    
step 00005 | epoch 1/30 | loss: 4.647779 | dt: 69ms | tok/sec: 943,475 | elapsed: 0s    
step 00006 | epoch 1/30 | loss: 4.095546 | dt: 71ms | tok/sec: 928,290 | elapsed: 0s    
step 00007 | epoch 1/30 | loss: 3.396293 | dt: 69ms | tok/sec: 945,751 | elapsed: 0s    
step 00008 | epoch 1/30 | loss: 3.136678 | dt: 74ms | tok/sec: 888,991 | elapsed: 0s    
step 00009 | epoch 1/30 | loss: 2.867500 | dt: 68ms | tok/sec: 969,426 | elapsed: 0s    
step 00010 | epoch 1/30 | loss: 2.567983 | dt: 69ms | tok/sec: 953,702 | elapsed: 0s    
step 00011 | epoch 1/30 | loss: 2.428542 | dt: 68ms | tok/sec: 963,088 | elapsed: 0s    
step 00012 | epoch 1/30 | loss: 2.308849 | dt: 71ms | tok/sec: 924,437 | elapsed: 0s    
step 00013 | epoch 1/30 | loss: 2.291247 | dt: 68ms | tok/sec: 960,614 | elapsed: 0s    
step 00014 | epoch 1/30 | loss: 2.192133 | dt: 69ms | tok/sec: 947,933 | elapsed: 0s    
step 00015 | epoch 1/30 | loss: 2.179299 | dt: 69ms | tok/sec: 952,964 | elapsed: 0s    
step 00016 | epoch 1/30 | loss: 2.131572 | dt: 68ms | tok/sec: 961,289 | elapsed: 0s    
step 00017 | epoch 1/30 | loss: 2.093664 | dt: 70ms | tok/sec: 942,657 | elapsed: 0s    
step 00018 | epoch 1/30 | loss: 2.068806 | dt: 69ms | tok/sec: 946,989 | elapsed: 1s    
step 00019 | epoch 1/30 | loss: 2.045620 | dt: 69ms | tok/sec: 951,193 | elapsed: 1s    
step 00020 | epoch 1/30 | loss: 1.996732 | dt: 71ms | tok/sec: 925,190 | elapsed: 1s    
step 00021 | epoch 1/30 | loss: 1.980260 | dt: 69ms | tok/sec: 956,482 | elapsed: 1s    
step 00022 | epoch 1/30 | loss: 1.943045 | dt: 69ms | tok/sec: 951,628 | elapsed: 1s    
step 00023 | epoch 1/30 | loss: 1.912024 | dt: 76ms | tok/sec: 860,852 | elapsed: 1s    
