wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /content/autoresearch-irishman/wandb/offline-run-20260715_165959-t3q6wir6
wandb: View this run in the terminal with `wandb leet`
Device: cuda
Vocab size: 98
Model config: RNNConfig(vocab_size=98, embed_size=256, hidden_size=256, num_layers=3, dropout=0.1, pad_token_id=97)
Num params: 1,605,730
Epoch budget: 50 epochs (no time limit)

step 00000 | epoch 1/50 | loss: 7.902697 | dt: 707ms | tok/sec: 92,644 | elapsed: 0s    
step 00001 | epoch 1/50 | loss: 12.141494 | dt: 71ms | tok/sec: 925,053 | elapsed: 0s    
step 00002 | epoch 1/50 | loss: 12.048357 | dt: 73ms | tok/sec: 898,957 | elapsed: 0s    
step 00003 | epoch 1/50 | loss: 6.469724 | dt: 70ms | tok/sec: 933,510 | elapsed: 0s    
step 00004 | epoch 1/50 | loss: 5.881541 | dt: 71ms | tok/sec: 917,985 | elapsed: 0s    
step 00005 | epoch 1/50 | loss: 4.647779 | dt: 71ms | tok/sec: 925,580 | elapsed: 0s    
step 00006 | epoch 1/50 | loss: 4.095546 | dt: 97ms | tok/sec: 678,474 | elapsed: 0s    
step 00007 | epoch 1/50 | loss: 3.396293 | dt: 82ms | tok/sec: 803,022 | elapsed: 0s    
step 00008 | epoch 1/50 | loss: 3.136678 | dt: 83ms | tok/sec: 788,820 | elapsed: 0s    
step 00009 | epoch 1/50 | loss: 2.867500 | dt: 70ms | tok/sec: 931,319 | elapsed: 0s    
step 00010 | epoch 1/50 | loss: 2.567983 | dt: 73ms | tok/sec: 897,751 | elapsed: 0s    
step 00011 | epoch 1/50 | loss: 2.428542 | dt: 71ms | tok/sec: 920,515 | elapsed: 0s    
step 00012 | epoch 1/50 | loss: 2.308849 | dt: 73ms | tok/sec: 892,837 | elapsed: 0s    
step 00013 | epoch 1/50 | loss: 2.291247 | dt: 72ms | tok/sec: 904,638 | elapsed: 0s    
step 00014 | epoch 1/50 | loss: 2.192133 | dt: 71ms | tok/sec: 921,589 | elapsed: 0s    
step 00015 | epoch 1/50 | loss: 2.179299 | dt: 70ms | tok/sec: 933,314 | elapsed: 0s    
step 00016 | epoch 1/50 | loss: 2.131572 | dt: 70ms | tok/sec: 929,772 | elapsed: 0s    
step 00017 | epoch 1/50 | loss: 2.093664 | dt: 73ms | tok/sec: 893,542 | elapsed: 1s    
step 00018 | epoch 1/50 | loss: 2.068806 | dt: 72ms | tok/sec: 910,026 | elapsed: 1s    
step 00019 | epoch 1/50 | loss: 2.045620 | dt: 72ms | tok/sec: 904,031 | elapsed: 1s    
step 00020 | epoch 1/50 | loss: 1.996732 | dt: 72ms | tok/sec: 915,862 | elapsed: 1s    
step 00021 | epoch 1/50 | loss: 1.980260 | dt: 72ms | tok/sec: 916,519 | elapsed: 1s    
step 00022 | epoch 1/50 | loss: 1.943045 | dt: 77ms | tok/sec: 851,334 | elapsed: 1s    
step 00023 | epoch 1/50 | loss: 1.912024 | dt: 70ms | tok/sec: 931,754 | elapsed: 1s    
